year,Age,Sex,poverty,Income_EQ,civil_status,Education,Occup,area_resid,family_size,REG
2011,31,1,1,8843,2,7,1,1,2,RO12
2011,88,2,1,8843,4,3,6,1,2,RO12
2011,86,2,0,16190,4,2,6,1,1,RO12
2011,68,1,1,12433,1,3,6,1,2,RO12
2011,63,2,1,12433,1,6,1,1,2,RO12
2011,54,2,1,6560,5,6,1,1,2,RO12
2011,24,2,1,6560,2,6,7,1,2,RO12
2011,59,1,1,3300,2,4,5,1,1,RO12
2011,65,2,1,11084,5,6,6,1,1,RO12
2011,51,1,1,11587,1,6,1,1,3,RO12
2011,18,1,1,11587,2,3,7,1,3,RO12
2011,48,2,1,11587,1,4,1,1,3,RO12
2011,42,1,0,15236,1,8,1,1,3,RO12
2011,11,2,0,15236,0,0,0,1,3,RO12
2011,39,2,0,15236,1,8,1,1,3,RO12
2011,50,2,1,11660,2,7,1,1,1,RO12
2011,71,1,0,15371,1,4,6,1,2,RO12
2011,67,2,0,15371,1,3,6,1,2,RO12
2011,63,1,1,14443,4,4,6,1,2,RO12
2011,33,2,0,14443,2,9,3,1,2,RO12
2011,35,1,0,13225,1,9,1,1,1,RO12
2011,61,1,0,18620,1,7,6,1,2,RO12
2011,58,2,0,18620,1,7,6,1,2,RO12
2011,50,1,0,19778,1,4,1,1,3,RO12
2011,21,1,0,19778,2,6,7,1,3,RO12
2011,47,2,0,19778,1,7,1,1,3,RO12
2011,35,1,0,23147,1,8,1,1,3,RO12
2011,3,2,0,23147,0,0,0,1,3,RO12
2011,35,2,0,23147,1,11,1,1,3,RO12
2011,26,2,0,11300,2,12,3,1,1,RO12
2011,60,1,0,14497,1,9,1,1,3,RO12
2011,14,2,1,14497,0,0,0,1,3,RO12
2011,53,2,0,14497,1,9,1,1,3,RO12
2011,59,1,0,17867,1,9,1,1,2,RO12
2011,55,2,0,17867,1,6,1,1,2,RO12
2011,55,1,1,13825,1,4,1,1,3,RO12
2011,53,2,1,13825,1,6,4,1,3,RO12
2011,24,2,1,13825,1,6,1,1,3,RO12
2011,62,1,0,15700,1,7,6,1,2,RO12
2011,61,2,0,15700,1,6,6,1,2,RO12
2011,25,1,1,4465,2,4,3,1,4,RO12
2011,54,2,1,4465,4,3,1,1,4,RO12
2011,24,2,1,4465,2,6,7,1,4,RO12
2011,47,1,1,5214,1,6,5,1,4,RO12
2011,42,2,1,5214,1,6,1,1,4,RO12
2011,22,2,1,5214,2,6,7,1,4,RO12
2011,18,2,1,5214,2,3,7,1,4,RO12
2011,28,1,1,11170,2,6,1,1,1,RO12
2011,17,1,0,15007,1,3,7,1,4,RO12
2011,52,1,0,15007,1,9,1,1,4,RO12
2011,18,1,0,15007,2,3,7,1,4,RO12
2011,49,2,0,15007,1,6,7,1,4,RO12
2011,64,1,1,8169,4,6,6,1,3,RO12
2011,18,2,1,8169,2,6,7,1,3,RO12
2011,47,1,1,7500,2,4,4,1,3,RO12
2011,2,2,1,7500,0,0,0,1,3,RO12
2011,34,2,1,7500,2,3,1,1,3,RO12
2011,51,1,1,12633,1,6,1,1,2,RO12
2011,48,2,1,12633,1,4,1,1,2,RO12
2011,77,2,0,16680,4,9,6,1,1,RO12
2011,79,1,1,7867,1,2,6,1,2,RO12
2011,83,2,1,7867,1,2,6,1,2,RO12
2011,58,1,1,2400,1,2,7,1,2,RO12
2011,52,2,1,2400,1,1,7,1,2,RO12
2011,31,1,1,5153,1,3,1,1,2,RO12
2011,31,2,1,5153,1,3,7,1,2,RO12
2011,62,1,1,14330,5,6,6,1,1,RO12
2011,63,1,1,13400,1,3,6,1,2,RO12
2011,60,2,1,13400,1,6,6,1,2,RO12
2011,51,1,1,5300,5,3,6,1,1,RO12
2011,77,2,1,6310,4,4,6,1,1,RO12
2011,66,1,1,8437,1,4,6,1,2,RO12
2011,62,2,1,8437,1,4,6,1,2,RO12
2011,79,1,1,4480,1,3,6,1,2,RO12
2011,66,2,1,4480,1,2,7,1,2,RO12
2011,79,1,1,9120,1,4,6,1,2,RO12
2011,77,2,1,9120,1,4,6,1,2,RO12
2011,10,1,1,14213,0,0,0,1,3,RO12
2011,40,1,0,14213,1,9,1,1,3,RO12
2011,36,2,0,14213,1,9,1,1,3,RO12
2011,8,1,1,11224,0,0,0,1,3,RO12
2011,29,1,1,11224,1,4,1,1,3,RO12
2011,41,2,1,11224,1,4,1,1,3,RO12
2011,72,1,1,14068,1,4,6,1,2,RO12
2011,64,2,1,14068,1,4,6,1,2,RO12
