Income,Expenditure,Age,Family_Size
1115.5,1316.3,20,2
2564.7,2135,22,3
2578.9,2122,22,3
487.3,672,19,3
487.3,672,17,3
3713.5,2355.3,20,3
3207,1422,21,3
1695.8,1172.7,17,4
8168.2,4095.2,23,5
8168.2,4095.2,20,5
2911.1,3068.5,22,6
2911.1,3068.5,21,6
2911.1,3068.5,15,6
2549.7,3187.2,19,3
3284.4,2150,21,4
2535.2,1444.5,21,3
1322.2,833.4,23,3
905.7,668.9,22,1
4178.5,3375.7,19,3
3418,2140.4,15,4
2450.8,1821.2,22,2
4722.3,3348.7,21,2
5166.9,5071.7,20,5
6021.8,3616.2,23,4
4204.5,3360.3,22,3
2552.4,2285.2,23,4
2552.4,2285.2,21,4
1376.4,1171.4,18,4
3058.8,2202.7,15,4
3328.2,1300.1,19,4
2117.6,1165.9,17,5
2117.6,1165.9,15,5
5136.3,3626.2,23,5
5136.3,3626.2,22,5
1855.1,1104,15,4
2788.5,1505.8,17,4
2788.5,1505.8,16,4
3493.9,3317.1,22,4
3493.9,3317.1,21,4
964.4,1030,22,1
2444.4,2246,20,3
1608.9,1408.1,16,3
2843.3,2613.8,16,4
1362.2,1781.8,22,4
1362.2,1781.8,18,4
5486.6,3140.4,21,3
11124.6,4964.1,20,4
766.2,272,16,3
1461.1,594,23,2
2955.4,2134,23,4
2955.4,2134,17,4
2784.3,2130.9,18,4
2048.5,1243,20,4
2048.5,1243,15,4
2694.8,2152.6,17,3
3423,2829.3,22,4
3423,2829.3,17,4
6326.4,3756.8,21,2
1427.5,959.9,20,3
4465.1,3178.9,22,3
5918.3,3682.3,22,4
3435.3,2994.9,22,3
4471.9,3873,21,5
2059.7,1222.5,23,4
2059.7,1222.5,15,4
3344.4,1832.8,19,3
3344.4,1832.8,18,3
2698.7,1553,17,5
2698.7,1553,15,5
1622.1,1221,15,3
1023.5,723,16,3
1378.8,639.2,17,4
1378.8,639.2,16,4
1310.3,509.7,17,3
4660.5,3828.9,17,4
4660.5,3828.9,16,4
1293.2,686.2,17,3
2157.4,4730,20,3
2653.2,2072.2,23,4
2653.2,2072.2,19,4
1036.4,506.2,18,2
634.5,1025.5,23,1
6022.5,3113.6,23,6
6022.5,3113.6,21,6
1549,1336.4,18,2
2755.3,2020.5,20,3
1367.7,1180.1,16,4
1367.7,1180.1,15,4
1819.9,1420.4,22,4
1819.9,1420.4,19,4
1372,389.5,20,5
996.8,234.4,19,5
996.8,234.4,17,5
996.8,234.4,15,5
2374.7,725.8,19,3
1734.8,418.5,18,4
1734.8,418.5,15,4
1492.2,700.5,21,3
2009.7,766.8,15,5
971.5,819.9,21,4
2081,1118.4,17,4
3008.7,2451,17,5
3008.7,2451,15,5
3977.9,4684.8,19,3
2053.2,1773.2,23,2
2362.1,2015.6,16,3
1791.2,1627.3,21,1
4203.1,4556.2,18,7
4203.1,4556.2,17,7
4203.1,4556.2,15,7
2832.6,2453.7,22,3
3399.3,2872,22,4
3399.3,2872,17,4
5006.3,4926.9,15,4
5006.3,4926.9,15,4
5798.5,4132.4,21,3
4441.2,2805.5,21,4
4441.2,2805.5,16,4
1705.1,1205.7,23,3
2362.2,1238.5,21,3
1312,1083.1,22,3
2014.5,1628.7,19,3
3407.5,2671.7,22,3
1158,1164.3,21,2
901.9,673.9,16,7
2576.4,2273,18,3
1686,1548.1,23,2
2411.9,1902.4,22,3
1196.2,957,15,3
1513.7,1100.5,22,2
1513.7,1100.5,21,2
4285.2,3414,23,4
2046.2,2274.4,18,3
5186.5,4479.5,16,5
1163.5,670.1,17,7
2250.9,1508.4,17,5
2250.9,1508.4,16,5
1432.2,1304.7,21,4
1432.2,1304.7,20,4
5304.7,3146.7,21,6
3530.6,2586.5,19,4
3822.2,1713.5,22,5
2021.8,1168.3,15,4
4080,4113.5,23,4
4080,4113.5,21,4
1417.6,1381,15,2
3067.2,3255.8,18,3
2864,2106.1,16,3
3513.3,3453.2,18,4
2283.5,2154.5,23,1
1001,748,19,1
2588.3,1977,17,3
2115.7,833.1,15,5
5339.3,3838,23,4
5339.3,3838,21,4
3243,2584,16,3
3204.9,2495,22,3
4362.3,3058,21,4
2827.8,1864,17,3
2197.8,2336.6,20,3
4776.2,3300.3,15,3
2312.9,2269.8,19,3
4252,3209,16,3
3236,2794,22,3
1034.4,722,20,1
4327.5,2610,23,3
6355.1,5402,15,5
2097.4,1676.4,15,3
3095.4,2598,23,3
1496,957.3,15,4
3388.1,2363,19,4
3388.1,2363,17,4
2647.7,2359,17,4
2471.5,2014.3,16,5
2216.9,1337,15,4
3248.6,2228,20,3
2362.9,1223.1,15,3
2324.3,1559,20,3
1711,1709,23,4
1346.7,1001.6,18,3
1911.1,1622.6,21,2
150,1873.5,19,3
4099.1,2502,23,5
4099.1,2502,20,5
4099.1,2502,18,5
2640.7,2246.1,21,5
1560.2,1317.9,20,4
2092,1582.7,17,4
2616.1,1713.4,17,3
1644,785.7,20,3
1356.1,706.6,19,3
1533.3,1480.4,16,3
4410.4,2984,21,4
4410.4,2984,19,4
1470.8,1267,17,4
1099.5,1114.3,23,5
1099.5,1114.3,22,5
1099.5,1114.3,20,5
1591.8,1292,22,3
1964.2,1125.8,20,3
10531.4,1827.6,23,4
10531.4,1827.6,21,4
864.2,662.7,20,5
864.2,662.7,22,5
864.2,662.7,15,5
1678.8,881.1,23,3
2186.7,1509.3,21,5
2186.7,1509.3,19,5
2691.7,1499.3,16,4
1435.1,1163.3,17,3
1847.2,1610.2,18,4
2309.9,1831.8,15,3
2506.2,2025.2,22,3
1650.5,1579.8,15,3
446.6,286.4,20,3
3687.8,2413.2,23,3
1673.2,1240.4,20,3
2784,2126.3,21,4
2208.1,1362.7,21,6
4861.6,2376,19,5
2885.1,1501.5,23,5
1214.1,3542.2,20,5
1214.1,3542.2,22,5
3497.1,2818.7,21,4
3497.1,2818.7,16,4
1812.7,1272.6,19,4
3050.3,2360.2,15,3
1554,1329.1,20,3
3586.7,2720.5,16,3
2909.3,2487.3,18,4
2996.2,2034.5,18,5
2996.2,2034.5,15,5
3138.1,2483,18,4
1219,964.2,21,4
1219,964.2,22,4
1963.1,1301.8,17,3
