CATEGORIA;CLASA;SEX;AGE;AGROUP;EDUC;OCUP;STAP;STAO;ACTP;INCOME
9;3;1;47;4;4;8331;1;1;4;14646.8233333333
9;3;2;43;3;5;5151;1;1;5;13054.57
2;1;1;39;3;7;1324;1;1;6;21605.16
6;2;2;37;3;7;2631;1;1;5;24360.3742424242
9;3;1;47;4;5;5151;1;1;5;11621.23
9;3;2;42;3;5;5151;1;1;5;13054.57
5;2;1;33;2;7;3322;1;1;5;16796.56
6;2;2;32;2;7;2631;1;4;2;26387.1916666667
7;2;1;57;5;5;7413;1;4;2;0
6;2;2;56;5;7;2631;1;1;5;30573.5925
7;2;1;37;3;4;7511;1;1;2;0
9;3;2;46;4;4;5221;1;1;5;12946.2028571429
8;2;1;33;2;5;5165;1;1;6;0
4;2;1;33;2;7;2142;1;1;7;29272.015
4;2;2;32;2;7;2142;1;1;7;0
9;3;1;35;3;5;5223;1;1;5;15298.12
4;2;1;44;3;7;2149;1;1;2;25377.165
8;2;2;43;3;5;4120;1;1;2;15484.77875
6;2;2;43;3;7;2631;1;4;2;24360.3742424242
6;2;2;35;3;7;2631;1;1;6;24360.3742424242
1;1;1;37;3;7;1219;1;1;6;38648.99
7;2;1;49;4;5;7413;1;1;5;20614.03
4;2;2;47;4;7;2269;1;1;6;0
6;2;1;36;3;7;2631;1;1;7;30030.6981818182
3;1;2;36;3;7;2612;1;1;6;98899.385
9;3;1;33;2;5;8331;1;1;4;0
1;1;1;57;5;7;1219;1;1;6;29205.31
4;2;2;56;5;7;2142;1;1;6;24971.4
6;2;1;35;3;7;2651;1;4;5;0
9;3;2;34;2;7;5221;1;1;5;10076.4833333333
2;1;1;52;4;7;1323;1;1;3;0
1;1;2;48;4;7;1120;1;1;6;39635.05
11;3;2;48;4;5;9629;1;1;6;10417.36
9;3;1;40;3;4;7214;1;4;2;21660.27
9;3;2;37;3;4;7531;1;1;2;11426.1972727273
8;2;1;41;3;7;5412;1;1;6;23280.6
9;3;2;43;3;7;5151;1;1;4;11979.96
6;2;1;38;3;7;2330;1;1;6;21870.63375
3;1;2;44;3;7;2612;1;1;6;98899.385
6;2;2;37;3;7;3343;1;1;6;0
11;3;1;51;4;4;5414;1;1;5;10954.0675
9;3;2;23;1;5;5223;1;1;5;0
9;3;1;44;3;5;8322;1;1;4;15918.6877142857
7;2;2;51;4;5;3119;1;1;2;23460.96
1;1;1;54;4;7;1219;1;1;2;13799
6;2;2;54;4;7;2631;1;1;6;28170.3266666667
1;1;1;35;3;7;1120;1;1;5;22111.29
6;2;2;32;2;7;2330;1;1;6;15457.847037037
9;3;1;38;3;6;8331;3;2;4;0
5;2;2;33;2;5;3324;1;1;5;2645.56
9;3;2;23;1;7;5230;1;1;5;0
9;3;1;26;2;5;5223;1;1;5;0
9;3;1;40;3;5;8331;1;1;4;18134.88
6;2;2;41;3;7;2631;1;4;5;24360.3742424242
9;3;2;37;3;5;5230;1;1;5;16436
9;3;1;41;3;5;8322;1;1;4;15918.6877142857
8;2;1;44;3;5;7224;1;4;2;16994.8
9;3;2;40;3;5;7314;1;1;2;0
9;3;1;35;3;5;8331;1;1;2;18134.88
7;2;2;35;3;5;3511;1;1;4;18213.42
9;3;1;33;2;5;7549;1;1;2;0
2;1;1;35;3;5;1311;1;1;1;0
8;2;2;39;3;5;4321;1;1;2;14021.3628571429
5;2;1;42;3;7;3334;1;1;5;0
9;3;2;42;3;7;5151;1;1;5;11979.96
9;3;1;36;3;4;8331;1;1;4;13589.675
9;3;2;37;3;5;5221;1;1;5;12443.1861363636
4;2;1;37;3;7;2412;1;1;6;0
4;2;2;37;3;7;2619;1;4;7;42365.5075
9;3;1;48;4;7;5151;1;1;2;0
9;3;1;30;2;5;5223;1;1;2;0
6;2;1;57;5;7;2330;1;1;6;22747.98
6;2;2;53;4;7;2622;1;1;6;13875.48
5;2;2;27;2;7;2611;1;1;6;24853.79
6;2;2;25;2;7;2330;1;1;6;15457.847037037
5;2;2;27;2;7;2611;1;1;7;24853.79
4;2;1;32;2;7;2132;1;1;2;21374.16
8;2;2;26;2;7;5142;1;1;5;0
9;3;1;30;2;5;5151;1;1;3;20600
4;2;2;34;2;7;2412;1;1;5;28994.9988888889
11;3;1;39;3;7;9621;1;1;4;0
6;2;2;25;2;7;2330;1;1;6;15457.847037037
4;2;1;55;5;7;2422;1;1;6;14706.84
4;2;2;49;4;7;2411;3;2;7;22305.79375
5;2;1;55;5;7;2611;1;1;6;28152.13
6;2;2;50;4;6;2221;1;1;6;25537.86
4;2;1;25;2;7;2619;3;2;6;0
5;2;1;24;1;7;2611;3;2;6;0
5;2;1;31;2;7;2611;1;1;7;25549.12
4;2;2;32;2;7;2619;3;2;7;17296.73
2;1;1;53;4;7;1322;1;1;2;0
6;2;2;49;4;7;2631;1;1;5;28170.3266666667
6;2;2;24;1;7;2631;1;1;5;0
6;2;2;26;2;7;2631;1;1;2;26387.1916666667
6;2;1;34;2;7;2631;1;1;3;27238.6213636364
6;2;1;26;2;7;2631;1;1;2;27238.6213636364
8;2;1;28;2;7;4323;1;1;3;13352.4
4;2;2;27;2;7;2265;1;1;7;0
6;2;1;50;4;7;4110;1;1;6;24396.5466666667
6;2;2;43;3;7;2221;1;1;6;18525.7966666667
9;3;2;56;5;2;5153;1;1;6;0
9;3;1;48;4;5;5151;1;1;5;11621.23
